model_name,metric,n_layers,n_total_units,n_unique_exact,n_unique_tol,uniq_frac_exact,uniq_frac_tol,n_groups_ge2,max_tie_group,tolerance,elapsed
mobilenet_v3_small,l1_norm,54,10968,10968,10897,1.0,0.9935266229029905,0,1,1e-06,0.05254316329956055
mobilenet_v3_small,l2_norm,54,10968,10968,10879,1.0,0.9918854850474107,0,1,1e-06,0.05254316329956055
mobilenet_v3_small,variance,54,10968,10968,10177,1.0,0.9278811086797958,0,1,1e-06,0.05254316329956055
mobilenet_v3_large,l1_norm,64,19560,19557,19452,0.9998466257668711,0.994478527607362,3,2,1e-06,0.9359521865844727
mobilenet_v3_large,l2_norm,64,19560,19555,19419,0.9997443762781186,0.9927914110429448,5,2,1e-06,0.9359521865844727
mobilenet_v3_large,variance,64,19560,19558,15995,0.9998977505112474,0.8177402862985685,2,2,1e-06,0.9359521865844727
mnasnet0_5,l1_norm,53,11312,11309,11309,0.9997347949080623,0.9997347949080623,3,2,1e-06,0.6457858085632324
mnasnet0_5,l2_norm,53,11312,11311,11307,0.9999115983026874,0.999557991513437,1,2,1e-06,0.6457858085632324
mnasnet0_5,variance,53,11312,11311,11279,0.9999115983026874,0.9970827439886846,1,2,1e-06,0.6457858085632324
mnasnet0_75,l1_norm,53,15904,15902,15893,0.999874245472837,0.9993083501006036,2,2,1e-06,1.4573466777801514
mnasnet0_75,l2_norm,53,15904,15901,15856,0.9998113682092555,0.9969818913480886,3,2,1e-06,1.4573466777801514
mnasnet0_75,variance,53,15904,15902,12920,0.999874245472837,0.812374245472837,2,2,1e-06,1.4573466777801514
mnasnet1_0,l1_norm,53,19960,19957,19275,0.9998496993987976,0.9656813627254509,3,2,1e-06,0.5711398124694824
mnasnet1_0,l2_norm,53,19960,19958,18421,0.9998997995991984,0.9228957915831664,2,2,1e-06,0.5711398124694824
mnasnet1_0,variance,53,19960,19958,13928,0.9998997995991984,0.6977955911823648,2,2,1e-06,0.5711398124694824
mnasnet1_3,l1_norm,53,25408,25408,25359,1.0,0.9980714735516373,0,1,1e-06,0.48574399948120117
mnasnet1_3,l2_norm,53,25408,25401,25246,0.9997244962216625,0.9936240554156172,7,2,1e-06,0.48574399948120117
mnasnet1_3,variance,53,25408,25407,18093,0.9999606423173804,0.7120985516372796,1,2,1e-06,0.48574399948120117
squeezenet1_0,l1_norm,26,3976,3975,3974,0.9997484909456741,0.9994969818913481,1,2,1e-06,0.2480924129486084
squeezenet1_0,l2_norm,26,3976,3976,3967,1.0,0.9977364185110664,0,1,1e-06,0.2480924129486084
squeezenet1_0,variance,26,3976,3976,3208,1.0,0.806841046277666,0,1,1e-06,0.2480924129486084
squeezenet1_1,l1_norm,26,3944,3944,3944,1.0,1.0,0,1,1e-06,0.39203810691833496
squeezenet1_1,l2_norm,26,3944,3944,3938,1.0,0.9984787018255578,0,1,1e-06,0.39203810691833496
squeezenet1_1,variance,26,3944,3944,3040,1.0,0.77079107505071,0,1,1e-06,0.39203810691833496
shufflenet_v2_x0_5,l1_norm,57,4976,4976,4974,1.0,0.9995980707395499,0,1,1e-06,0.48451924324035645
shufflenet_v2_x0_5,l2_norm,57,4976,4975,4970,0.9997990353697749,0.9987942122186495,1,2,1e-06,0.48451924324035645
shufflenet_v2_x0_5,variance,57,4976,4976,4575,1.0,0.9194131832797428,0,1,1e-06,0.48451924324035645
shufflenet_v2_x1_0,l1_norm,57,9090,9090,9080,1.0,0.9988998899889989,0,1,1e-06,0.4054877758026123
shufflenet_v2_x1_0,l2_norm,57,9090,9089,9060,0.9998899889988999,0.9966996699669967,1,2,1e-06,0.4054877758026123
shufflenet_v2_x1_0,variance,57,9090,9088,8132,0.9997799779977998,0.8946094609460946,2,2,1e-06,0.4054877758026123
shufflenet_v2_x1_5,l1_norm,57,12720,12719,12703,0.9999213836477987,0.9986635220125786,1,2,1e-06,1.379601240158081
shufflenet_v2_x1_5,l2_norm,57,12720,12719,12693,0.9999213836477987,0.997877358490566,1,2,1e-06,1.379601240158081
shufflenet_v2_x1_5,variance,57,12720,12719,11071,0.9999213836477987,0.8703616352201258,1,2,1e-06,1.379601240158081
shufflenet_v2_x2_0,l1_norm,57,17858,17858,17843,1.0,0.9991600403180647,0,1,1e-06,0.7328910827636719
shufflenet_v2_x2_0,l2_norm,57,17858,17854,17816,0.9997760107514839,0.9976481128905813,4,2,1e-06,0.7328910827636719
shufflenet_v2_x2_0,variance,57,17858,17858,13748,1.0,0.7698510471497368,0,1,1e-06,0.7328910827636719
efficientnet_b0,l1_norm,82,31348,31346,31325,0.9999362000765599,0.999266300880439,2,2,1e-06,0.09566092491149902
efficientnet_b0,l2_norm,82,31348,31345,31251,0.9999043001148399,0.9969057037131556,3,2,1e-06,0.09566092491149902
efficientnet_b0,variance,82,31348,31347,25890,0.99996810003828,0.8258900089319893,1,2,1e-06,0.09566092491149902
efficientnet_b1,l1_norm,116,46184,46180,46157,0.9999133899185865,0.999415381950459,4,2,1e-06,0.7129712104797363
efficientnet_b1,l2_norm,116,46184,46178,46091,0.9998700848778798,0.9979863156071367,6,2,1e-06,0.7129712104797363
efficientnet_b1,variance,116,46184,46183,42606,0.9999783474796466,0.9225272821756453,1,2,1e-06,0.7129712104797363
efficientnet_b2,l1_norm,116,50194,50188,50141,0.9998804638004543,0.9989440969040124,6,2,1e-06,1.8440487384796143
efficientnet_b2,l2_norm,116,50194,50189,49972,0.9999003865003785,0.9955771606168068,5,2,1e-06,1.8440487384796143
efficientnet_b2,variance,116,50194,50191,38442,0.9999402319002271,0.7658684304897,3,2,1e-06,1.8440487384796143
efficientnet_b3,l1_norm,131,64728,64722,64658,0.99990730441231,0.9989185514769497,6,2,1e-06,4.416246175765991
efficientnet_b3,l2_norm,131,64728,64721,64468,0.999891855147695,0.9959831912000989,7,2,1e-06,4.416246175765991
efficientnet_b3,variance,131,64728,64726,51824,0.99996910147077,0.8006426894079842,2,2,1e-06,4.416246175765991
efficientnet_b4,l1_norm,161,92640,92630,92609,0.999892055267703,0.9996653713298791,10,2,1e-06,0.2686281204223633
efficientnet_b4,l2_norm,161,92640,92631,92481,0.9999028497409327,0.9982836787564767,9,2,1e-06,0.2686281204223633
efficientnet_b4,variance,161,92640,92637,87393,0.9999676165803109,0.9433613989637306,3,2,1e-06,0.2686281204223633
efficientnet_b5,l1_norm,195,127688,127673,127523,0.9998825261575089,0.9987077877325982,15,2,1e-06,7.069411039352417
efficientnet_b5,l2_norm,195,127688,127677,126892,0.9999138525155066,0.9937660547584738,11,2,1e-06,7.069411039352417
efficientnet_b5,variance,195,127688,127683,81199,0.999960842052503,0.6359172357621703,5,2,1e-06,7.069411039352417
efficientnet_v2_s,l1_norm,171,113128,113117,112892,0.9999027650095467,0.9979138674775475,11,2,1e-06,1.481745958328247
