site_idx,site_kind,site_keys,n_neurons,metric_name,n_exact_ties,uniqueness_prob_exact,n_tie_groups,equivalent_orderings,n_approx_ties_1e-07,uniqueness_prob_1e-07,n_approx_ties_1e-05,uniqueness_prob_1e-05,n_approx_ties_0.001,uniqueness_prob_0.001,model_name
3,conv_bn_conv,"['layer1.1.conv2.weight', 'layer1.1.bn2.weight']",64,l2_norm,0,1.0,0,1.0,2,0.96875,2,0.96875,4,0.9375,resnet101
4,conv_bn_conv,"['layer1.2.conv1.weight', 'layer1.2.bn1.weight']",64,l2_norm,0,1.0,0,1.0,2,0.96875,2,0.96875,20,0.6875,resnet101
5,conv_bn_conv,"['layer1.2.conv2.weight', 'layer1.2.bn2.weight']",64,l2_norm,0,1.0,0,1.0,2,0.96875,2,0.96875,6,0.90625,resnet101
6,conv_bn_conv,"['layer2.0.conv1.weight', 'layer2.0.bn1.weight']",128,l2_norm,0,1.0,0,1.0,12,0.90625,12,0.90625,56,0.5625,resnet101
7,conv_bn_conv,"['layer2.0.conv2.weight', 'layer2.0.bn2.weight']",128,l2_norm,0,1.0,0,1.0,6,0.953125,6,0.953125,32,0.75,resnet101
8,conv_bn_conv,"['layer2.1.conv1.weight', 'layer2.1.bn1.weight']",128,l2_norm,0,1.0,0,1.0,2,0.984375,2,0.984375,39,0.6953125,resnet101
9,conv_bn_conv,"['layer2.1.conv2.weight', 'layer2.1.bn2.weight']",128,l2_norm,0,1.0,0,1.0,2,0.984375,2,0.984375,21,0.8359375,resnet101
10,conv_bn_conv,"['layer2.2.conv1.weight', 'layer2.2.bn1.weight']",128,l2_norm,0,1.0,0,1.0,10,0.921875,10,0.921875,41,0.6796875,resnet101
11,conv_bn_conv,"['layer2.2.conv2.weight', 'layer2.2.bn2.weight']",128,l2_norm,0,1.0,0,1.0,15,0.8828125,15,0.8828125,47,0.6328125,resnet101
12,conv_bn_conv,"['layer2.3.conv1.weight', 'layer2.3.bn1.weight']",128,l2_norm,0,1.0,0,1.0,12,0.90625,12,0.90625,54,0.578125,resnet101
13,conv_bn_conv,"['layer2.3.conv2.weight', 'layer2.3.bn2.weight']",128,l2_norm,0,1.0,0,1.0,12,0.90625,12,0.90625,44,0.65625,resnet101
14,conv_bn_conv,"['layer3.0.conv1.weight', 'layer3.0.bn1.weight']",256,l2_norm,0,1.0,0,1.0,64,0.75,64,0.75,162,0.3671875,resnet101
15,conv_bn_conv,"['layer3.0.conv2.weight', 'layer3.0.bn2.weight']",256,l2_norm,0,1.0,0,1.0,48,0.8125,48,0.8125,128,0.5,resnet101
16,conv_bn_conv,"['layer3.1.conv1.weight', 'layer3.1.bn1.weight']",256,l2_norm,0,1.0,0,1.0,45,0.82421875,45,0.82421875,165,0.35546875,resnet101
17,conv_bn_conv,"['layer3.1.conv2.weight', 'layer3.1.bn2.weight']",256,l2_norm,0,1.0,0,1.0,47,0.81640625,47,0.81640625,139,0.45703125,resnet101
18,conv_bn_conv,"['layer3.2.conv1.weight', 'layer3.2.bn1.weight']",256,l2_norm,0,1.0,0,1.0,40,0.84375,40,0.84375,171,0.33203125,resnet101
19,conv_bn_conv,"['layer3.2.conv2.weight', 'layer3.2.bn2.weight']",256,l2_norm,0,1.0,0,1.0,43,0.83203125,43,0.83203125,131,0.48828125,resnet101
20,conv_bn_conv,"['layer3.3.conv1.weight', 'layer3.3.bn1.weight']",256,l2_norm,0,1.0,0,1.0,22,0.9140625,22,0.9140625,170,0.3359375,resnet101
21,conv_bn_conv,"['layer3.3.conv2.weight', 'layer3.3.bn2.weight']",256,l2_norm,0,1.0,0,1.0,42,0.8359375,42,0.8359375,155,0.39453125,resnet101
22,conv_bn_conv,"['layer3.4.conv1.weight', 'layer3.4.bn1.weight']",256,l2_norm,0,1.0,0,1.0,54,0.7890625,54,0.7890625,178,0.3046875,resnet101
23,conv_bn_conv,"['layer3.4.conv2.weight', 'layer3.4.bn2.weight']",256,l2_norm,0,1.0,0,1.0,58,0.7734375,58,0.7734375,157,0.38671875,resnet101
24,conv_bn_conv,"['layer3.5.conv1.weight', 'layer3.5.bn1.weight']",256,l2_norm,0,1.0,0,1.0,64,0.75,64,0.75,190,0.2578125,resnet101
